 getPopulationofCountry French Guiana Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
100848918 getPopulationofCountry Japan Zone:3  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server3)
15411242 getPopulationofCountry Belgium Zone:5  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server5)
4803355 getPopulationofCountry Serbia Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
24859223 getPopulationofCountry Romania Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
357957 getPopulationofCountry Bahamas Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
4722032 getPopulationofCountry Guinea Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
4896738 getPopulationofCountry Tunisia Zone:3  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server3)
 getPopulationofCountry United States Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
53608445 getPopulationofCountry Pakistan Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
316458 getPopulationofCountry Suriname Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
16357414 getPopulationofCountry Thailand Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
7097388 getPopulationofCountry Belarus Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
63717971 getPopulationofCountry Turkey Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
8833274 getPopulationofCountry Greece Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
3006587 getPopulationofCountry Slovakia Zone:3  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server3)
7371530 getPopulationofCountry Switzerland Zone:3  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server3)
736951 getPopulationofCountry Gambia Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
8480241 getPopulationofCountry Israel Zone:5  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server5)
5996338 getPopulationofCountry Senegal Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
3022187 getPopulationofCountry Benin Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
107338689 getPopulationofCountry Mexico Zone:5  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server5)
9362428 getPopulationofCountry Sweden Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
1182883 getPopulationofCountry Slovenia Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
7287342 getPopulationofCountry Ghana Zone:5  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server5)
1698635 getPopulationofCountry Kuwait Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
3639169 getPopulationofCountry Cambodia Zone:5  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server5)
8249 getPopulationofCountry Tuvalu Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
184225 getPopulationofCountry Guam Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
1073335 getPopulationofCountry Botswana Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
374575 getPopulationofCountry Guadeloupe Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
2579609 getPopulationofCountry Oman Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
31731367 getPopulationofCountry Canada Zone:5  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server5)
3989252 getPopulationofCountry Nepal Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
16383873 getPopulationofCountry Netherlands Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
15411242 getPopulationofCountry Belgium Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
61828558 getPopulationofCountry Philippines Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
7348242 getPopulationofCountry Bolivia Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
 getPopulationofCountry Equatorial Guinea Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
 getPopulationofCountry United Kingdom Zone:3  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server3)
3318037 getPopulationofCountry Honduras Zone:3  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server3)
64027243 getPopulationofCountry Indonesia Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
2501302 getPopulationofCountry Panama Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
3988332 getPopulationofCountry Paraguay Zone:3  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server3)
3162856 getPopulationofCountry Norway Zone:5  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server5)
1930662 getPopulationofCountry Kyrgyzstan Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
3907506 getPopulationofCountry Ireland Zone:3  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server3)
276340 getPopulationofCountry Swaziland Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
3157852 getPopulationofCountry Croatia Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
357957 getPopulationofCountry Bahamas Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
361020 getPopulationofCountry Comoros Zone:3  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server3)
1907246 getPopulationofCountry Tajikistan Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
44135 getPopulationofCountry Greenland Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
2177342 getPopulationofCountry  Zone:3  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server3)
672994000 getPopulationofCountry China Zone:3  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server3)
8652407 getPopulationofCountry Portugal Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
24859223 getPopulationofCountry Romania Zone:3  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server3)
 getPopulationofCountry French Guiana Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
736951 getPopulationofCountry Gambia Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
7287342 getPopulationofCountry Ghana Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
1698635 getPopulationofCountry Kuwait Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
5996338 getPopulationofCountry Senegal Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
29145131 getPopulationofCountry Poland Zone:5  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server5)
8833274 getPopulationofCountry Greece Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
63717971 getPopulationofCountry Turkey Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
7371530 getPopulationofCountry Switzerland Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
49007 getPopulationofCountry Tonga Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
32847337 getPopulationofCountry Ukraine Zone:3  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server3)
369776 getPopulationofCountry Guyana Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
100848918 getPopulationofCountry Japan Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
3639169 getPopulationofCountry Cambodia Zone:5  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server5)
8684197 getPopulationofCountry Cameroon Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
16357414 getPopulationofCountry Thailand Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
1070 getPopulationofCountry Tokelau Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
3162856 getPopulationofCountry Norway Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
184225 getPopulationofCountry Guam Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
7571439 getPopulationofCountry Kenya Zone:3  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server3)
357957 getPopulationofCountry Bahamas Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
2501302 getPopulationofCountry Panama Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
10074283 getPopulationofCountry Kazakhstan Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
 getPopulationofCountry United Kingdom Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
6340891 getPopulationofCountry Guatemala Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
7097388 getPopulationofCountry Belarus Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
44135 getPopulationofCountry Greenland Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
134594036 getPopulationofCountry Brazil Zone:3  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server3)
 getPopulationofCountry Equatorial Guinea Zone:5  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server5)
2579609 getPopulationofCountry Oman Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
10382487 getPopulationofCountry Hungary Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
48029 getPopulationofCountry Seychelles Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
672994000 getPopulationofCountry China Zone:3  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server3)
31731367 getPopulationofCountry Canada Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
21079844 getPopulationofCountry Peru Zone:5  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server5)
5996338 getPopulationofCountry Senegal Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
4896738 getPopulationofCountry Tunisia Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
16383873 getPopulationofCountry Netherlands Zone:5  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server5)
1182883 getPopulationofCountry Slovenia Zone:3  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server3)
4803355 getPopulationofCountry Serbia Zone:3  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server3)
61828558 getPopulationofCountry Philippines Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
3022187 getPopulationofCountry Benin Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
1698635 getPopulationofCountry Kuwait Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
3006587 getPopulationofCountry Slovakia Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
4722032 getPopulationofCountry Guinea Zone:5  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server5)
2177342 getPopulationofCountry  Zone:5  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server5)
736951 getPopulationofCountry Gambia Zone:5  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server5)
100848918 getPopulationofCountry Japan Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
1907246 getPopulationofCountry Tajikistan Zone:3  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Serve
